Image 0, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 1, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 2, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 3, true label: 0, predicted label: 8, accumulative accuracy: 0.75
Image 4, true label: 6, predicted label: 6, accumulative accuracy: 0.8
Image 5, true label: 6, predicted label: 6, accumulative accuracy: 0.8333333333333334
Image 6, true label: 1, predicted label: 1, accumulative accuracy: 0.8571428571428571
Image 7, true label: 6, predicted label: 4, accumulative accuracy: 0.75
Image 8, true label: 3, predicted label: 3, accumulative accuracy: 0.7777777777777778
Image 9, true label: 1, predicted label: 1, accumulative accuracy: 0.8
total cycles (32767 Hz): 873610
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 11, true label: 9, predicted label: 9, accumulative accuracy: 0.8333333333333334
Image 12, true label: 5, predicted label: 5, accumulative accuracy: 0.8461538461538461
Image 13, true label: 7, predicted label: 7, accumulative accuracy: 0.8571428571428571
Image 14, true label: 9, predicted label: 9, accumulative accuracy: 0.8666666666666667
Image 15, true label: 8, predicted label: 8, accumulative accuracy: 0.875
Image 16, true label: 5, predicted label: 5, accumulative accuracy: 0.8823529411764706
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 0.8888888888888888
Image 18, true label: 8, predicted label: 8, accumulative accuracy: 0.8947368421052632
Image 19, true label: 6, predicted label: 6, accumulative accuracy: 0.9
total cycles (32767 Hz): 873625
Image 20, true label: 7, predicted label: 7, accumulative accuracy: 0.9047619047619048
Image 21, true label: 0, predicted label: 0, accumulative accuracy: 0.9090909090909091
Image 22, true label: 4, predicted label: 4, accumulative accuracy: 0.9130434782608695
Image 23, true label: 9, predicted label: 9, accumulative accuracy: 0.9166666666666666
Image 24, true label: 5, predicted label: 4, accumulative accuracy: 0.88
Image 25, true label: 2, predicted label: 3, accumulative accuracy: 0.8461538461538461
Image 26, true label: 4, predicted label: 3, accumulative accuracy: 0.8148148148148148
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.8214285714285714
Image 28, true label: 9, predicted label: 9, accumulative accuracy: 0.8275862068965517
Image 29, true label: 6, predicted label: 6, accumulative accuracy: 0.8333333333333334
total cycles (32767 Hz): 873619
Image 30, true label: 6, predicted label: 6, accumulative accuracy: 0.8387096774193549
Image 31, true label: 5, predicted label: 5, accumulative accuracy: 0.84375
Image 32, true label: 4, predicted label: 4, accumulative accuracy: 0.8484848484848485
Image 33, true label: 5, predicted label: 5, accumulative accuracy: 0.8529411764705882
Image 34, true label: 9, predicted label: 9, accumulative accuracy: 0.8571428571428571
Image 35, true label: 2, predicted label: 3, accumulative accuracy: 0.8333333333333334
Image 36, true label: 4, predicted label: 4, accumulative accuracy: 0.8378378378378378
Image 37, true label: 1, predicted label: 1, accumulative accuracy: 0.8421052631578947
